DATE,CPILFESL_PCA,JTSJOL,UNEMPLOY
1/1/2009,2.35394,2738,12058
2/1/2009,2.49042,2864,12898
3/1/2009,2.56982,2534,13426
4/1/2009,2.51932,2295,13853
5/1/2009,1.09182,2549,14499
6/1/2009,1.1462,2503,14707
7/1/2009,0.83012,2232,14601
8/1/2009,1.28266,2338,14814
9/1/2009,2.34282,2487,15009
10/1/2009,3.21672,2406,15352
11/1/2009,0.90166,2503,15219
12/1/2009,1.17547,2568,15098
1/1/2010,-1.33904,2837,15046
2/1/2010,0.53432,2666,15113
3/1/2010,0.28306,2679,15202
4/1/2010,0.21218,3153,15325
5/1/2010,0.76345,2988,14849
6/1/2010,1.26725,2801,14474
7/1/2010,0.9207,3082,14512
8/1/2010,0.79434,2999,14648
9/1/2010,1.09982,2918,14579
10/1/2010,0.64599,3235,14516
11/1/2010,1.73936,3211,15081
12/1/2010,1.05299,3058,14348
1/1/2011,2.5111,3104,14013
2/1/2011,2.23072,3226,13820
3/1/2011,1.30334,3261,13737
4/1/2011,1.47597,3259,13957
5/1/2011,2.42957,3179,13855
6/1/2011,2.83031,3455,13962
7/1/2011,2.81817,3623,13763
8/1/2011,3.48582,3329,13818
9/1/2011,1.36863,3774,13948
10/1/2011,2.07865,3619,13594
11/1/2011,2.10205,3565,13302
12/1/2011,2.70915,3768,13093
1/1/2012,2.51934,3909,12797
2/1/2012,0.8299,3616,12813
3/1/2012,2.36168,3979,12713
4/1/2012,2.26586,3793,12646
5/1/2012,1.68519,3835,12660
6/1/2012,2.1089,3911,12692
7/1/2012,1.82856,3735,12656
8/1/2012,1.38102,3809,12471
9/1/2012,2.2431,3882,12115
10/1/2012,1.91552,3775,12124
11/1/2012,1.60108,3878,12005
12/1/2012,2.06837,3970,12298
1/1/2013,2.64144,3923,12471
2/1/2013,1.7711,4004,11950
3/1/2013,1.16714,4076,11689
4/1/2013,0.19606,3988,11760
5/1/2013,0.84853,4145,11654
6/1/2013,1.83852,4150,11751
7/1/2013,2.75983,3885,11335
8/1/2013,2.36491,4085,11279
9/1/2013,1.88,4128,11270
10/1/2013,1.13582,4222,11136
11/1/2013,2.26043,4119,10787
12/1/2013,2.05861,4121,10404
1/1/2014,1.03303,4127,10202
2/1/2014,1.14514,4373,10349
3/1/2014,2.25858,4388,10380
4/1/2014,2.29058,4566,9702
5/1/2014,2.3379,4747,9859
6/1/2014,1.56717,4982,9460
7/1/2014,1.82131,4846,9608
8/1/2014,1.0631,5349,9599
9/1/2014,1.93469,4914,9262
10/1/2014,2.05439,5012,8990
11/1/2014,1.34777,4843,9090
12/1/2014,0.63326,5130,8717
1/1/2015,1.14291,5344,8885
2/1/2015,1.82145,5466,8599
3/1/2015,2.95212,5210,8515
4/1/2015,2.98583,5598,8550
5/1/2015,1.71378,5563,8834
6/1/2015,1.88293,5248,8247
7/1/2015,2.51211,6056,8167
8/1/2015,1.25382,5467,7992
9/1/2015,2.49412,5488,7907
10/1/2015,2.25212,5773,7922
11/1/2015,2.35345,5708,8000
12/1/2015,1.51384,5845,7907
1/1/2016,2.02054,6012,7627
2/1/2016,2.75301,5770,7702
3/1/2016,1.98766,6129,7961
4/1/2016,3.15811,5803,8067
5/1/2016,2.88973,5777,7652
6/1/2016,1.97446,5742,7744
7/1/2016,1.41002,5962,7641
8/1/2016,2.9144,5677,7784
9/1/2016,2.04285,5868,7953
10/1/2016,1.45633,5591,7811
11/1/2016,1.64508,5971,7553
12/1/2016,2.13214,5964,7521
1/1/2017,2.65829,5617,7468
2/1/2017,2.57392,5923,7379
3/1/2017,-0.25786,5811,7073
4/1/2017,1.36172,6091,7089
5/1/2017,0.97396,5826,7000
6/1/2017,1.51864,6305,6873
7/1/2017,1.14521,6238,6892
8/1/2017,2.65088,6276,7082
9/1/2017,1.32422,6320,6854
10/1/2017,3.44222,6408,6700
11/1/2017,1.38131,6271,6774
12/1/2017,2.52506,6336,6632
1/1/2018,4.13381,6621,6489
2/1/2018,2.4102,6552,6581
3/1/2018,2.65985,6818,6472
4/1/2018,1.69405,6877,6459
5/1/2018,2.43489,7016,6196
6/1/2018,1.19178,7230,6447
7/1/2018,1.40761,7190,6195
8/1/2018,0.89774,7208,6156
9/1/2018,2.24226,7411,6073
10/1/2018,2.57986,7304,6211
11/1/2018,2.44632,7594,6115
12/1/2018,2.92472,7489,6389
1/1/2019,3.29249,7502,6475
2/1/2019,1.94998,7066,6136
3/1/2019,1.76459,7317,6202
4/1/2019,1.99066,7272,5961
5/1/2019,1.01231,7275,5930
6/1/2019,2.41519,7194,5935
7/1/2019,2.49907,7042,6061
8/1/2019,2.75525,7178,5945
9/1/2019,2.34872,7124,5753
10/1/2019,2.67379,7289,5871
11/1/2019,2.64929,6888,5868
12/1/2019,2.15392,6699,5853
1/1/2020,3.10166,7170,5842
2/1/2020,3.21402,6974,5729
3/1/2020,-1.48861,5924,7209
4/1/2020,-5.56803,4637,23090
5/1/2020,-1.502,5593,20933
6/1/2020,1.72217,6156,17658
7/1/2020,7.14854,6491,16391
8/1/2020,4.66112,6369,13498
9/1/2020,2.30425,6505,12573
10/1/2020,1.70904,6838,11012
11/1/2020,3.10482,6857,10713
12/1/2020,1.67064,6758,10772
1/1/2021,0.36459,7185,10196
2/1/2021,1.74893,7818,9992
3/1/2021,2.90945,8519,9734
4/1/2021,10.18989,9282,9801
5/1/2021,8.3215,9905,9250
6/1/2021,9.498,10317,9547
7/1/2021,4.53119,10991,8770
8/1/2021,1.65339,10884,8288
9/1/2021,3.12791,10875,7659
10/1/2021,8.52293,11365,7244
11/1/2021,7.80825,11178,6733
12/1/2021,8.02109,11511,6305
1/1/2022,6.89851,11243,6549
2/1/2022,6.35332,11700,6279
3/1/2022,3.18408,12182,5993
4/1/2022,6.29414,11773,6034
5/1/2022,6.62434,11473,5966
6/1/2022,8.09174,11204,5984
7/1/2022,4.51151,11537,5783
8/1/2022,6.33428,10119,5983
9/1/2022,7.16438,10784,5755
10/1/2022,4.37802,10526,5950
11/1/2022,3.83807,10702,5956
12/1/2022,4.61441,11000,5698
1/1/2023,5.24158,10425,5719
2/1/2023,5.75583,9849,5962
3/1/2023,3.96883,9623,5866
4/1/2023,5.75901,9904,5715
5/1/2023,4.42066,9311,6117
6/1/2023,2.36164,9125,5997
