DATE,CPILFESL_PCA,JTSJOL,UNEMPLOY
1/1/2009,1.68951,2712,12794
4/1/2009,2.05485,2449,14353
7/1/2009,1.19732,2352.333333,14808
10/1/2009,2.06166,2492.333333,15223
1/1/2010,0.05983,2727.333333,15120.33333
4/1/2010,0.50295,2980.666667,14882.66667
7/1/2010,0.97188,2999.666667,14579.66667
10/1/2010,1.05079,3168,14648.33333
1/1/2011,1.90321,3197,13856.66667
4/1/2011,1.88269,3297.666667,13924.66667
7/1/2011,2.76324,3575.333333,13843
10/1/2011,2.15063,3650.666667,13329.66667
1/1/2012,2.11943,3834.666667,12774.33333
4/1/2012,1.98008,3846.333333,12666
7/1/2012,1.8211,3808.666667,12414
10/1/2012,1.87565,3874.333333,12142.33333
1/1/2013,2.03998,4001,12036.66667
4/1/2013,0.91252,4094.333333,11721.66667
7/1/2013,2.15572,4032.666667,11294.66667
10/1/2013,1.78905,4154,10775.66667
1/1/2014,1.5568,4296,10310.33333
4/1/2014,2.08561,4765,9673.666667
7/1/2014,1.66546,5036.333333,9489.666667
10/1/2014,1.6014,4995,8932.333333
1/1/2015,1.40241,5340,8666.333333
4/1/2015,2.44179,5469.666667,8543.666667
7/1/2015,2.00078,5670.333333,8022
10/1/2015,2.13463,5775.333333,7943
1/1/2016,2.10333,5970.333333,7763.333333
4/1/2016,2.66066,5774,7821
7/1/2016,2.10265,5835.666667,7792.666667
10/1/2016,1.86447,5842,7628.333333
1/1/2017,2.08194,5783.666667,7306.666667
4/1/2017,1.06428,6074,6987.333333
7/1/2017,1.56208,6278,6942.666667
10/1/2017,2.31956,6338.333333,6702
1/1/2018,2.91976,6663.666667,6514
4/1/2018,2.09556,7041,6367.333333
7/1/2018,1.45187,7269.666667,6141.333333
10/1/2018,2.32556,7462.333333,6238.333333
1/1/2019,2.64656,7295,6271
4/1/2019,1.76468,7247,5942
7/1/2019,2.35457,7114.666667,5919.666667
10/1/2019,2.54714,6958.666667,5864
1/1/2020,2.34541,6689.333333,6260
4/1/2020,-2.01758,5462,20560.33333
7/1/2020,3.8517,6455,14154
10/1/2020,2.47029,6817.666667,10832.33333
1/1/2021,1.54496,7840.666667,9974
4/1/2021,7.09562,9834.666667,9532.666667
7/1/2021,5.21345,10916.66667,8239
10/1/2021,6.31744,11351.33333,6760.666667
1/1/2022,6.70246,11708.33333,6273.666667
4/1/2022,5.87421,11483.33333,5994.666667
7/1/2022,6.23212,10813.33333,5840.333333
10/1/2022,5.11047,10742.66667,5868
1/1/2023,4.91756,9965.666667,5849
4/1/2023,4.67889,9446.666667,5943
